employee_id	full_name	date_of_birth	gender	email	phone_number	hire_date	job_title	Employee_type	department_id	status	last_promotion_date	password	duration	overall_payment
E030	Willie Norris	1999-04-28	Male	robinhill@gmail.com	+1-483-847-8780x036	2024-02-03	Manager	Contractor	5	null	WE030	2021-05-21	12.0	60700.0
E035	Willie Baker	1993-12-13	Male	millerbrandon@hickman-bryant.net	9396374825	2016-10-20	Analyst	Contractor	1	Active	WE035	2020-09-28	6.0	26800.0
E022	Jeffrey Johnson	1975-02-24	Male	tjohnston@chang-holder.org	-3268	2018-11-18	Developer	Contractor	2	null	JE022	2021-10-12	36.0	19400.0
E025	Brian Tucker	1994-08-01	Male	martinezmarcus@hotmail.com	(370)185-5221x1147	2021-12-11	Manager	Contractor	2	null	BE025	2025-01-01	12.0	58200.0
E027	Bryan Ramsey	1973-02-06	Male	owenspencer@ingram.net	001-732-912-2296x43470	2023-06-25	Consultant	Contractor	2	null	BE027	2021-11-18	24.0	123700.0
E056	Tonya Yates	1975-02-24	Female	yangstacy@hotmail.com	6945358323	2021-06-21	Analyst	Contractor	3	Active	TE056	2024-10-16	9.0	47530.0
E057	Kyle Berry	2001-03-17	Female	james82@robbins.info	001-411-009-3471x79034	2021-12-25	Manager	Contractor	1	null	KE057	2025-06-07	12.0	66300.0
E059	Patricia Jones	1978-11-21	Female	becky35@rosario-ramos.info	933.553.4014x7449	2022-10-21	Manager	Contractor	3	null	PE059	2021-10-08	12.0	59200.0
E041	Veronica Howard	1966-08-07	Female	noah65@gmail.com	(383)652-4049	2023-12-20	Consultant	Contractor	4	Active	VE041	2024-01-15	12.0	55400.0
E042	Noah Simpson Jr.	1995-04-22	Male	thouston@king.com	2883149184	2017-12-17	Developer	Contractor	3	null	NE042	2023-07-30	36.0	21400.0
E043	Debra Carroll	1965-02-20	Female	omitchell@yahoo.com	6442215718	2022-01-11	Developer	Contractor	3	Active	DE043	2025-07-11	48.0	27400.0
E045	Eric Wells	1995-11-22	Male	nguyennicholas@duncan.org	571.683.0838	2020-11-09	Developer	Contractor	2	Active	EE045	2022-07-11	48.0	26900.0
E046	Dale Patrick	1999-02-16	Female	orobinson@munoz.com	001-876-167-6159x109	2020-11-19	Analyst	Contractor	5	null	DE046	2025-01-13	9.0	50330.0
E071	Kathryn Miller	2000-10-07	Female	aaron30@gmail.com	735-793-6801x3892	2024-01-01	Developer	Contractor	3	null	KE071	2023-12-31	12.0	62800.0
E072	Ashley Lam	1972-08-31	Female	robert77@gray.com	8750358022	2018-08-26	Analyst	Contractor	4	Active	AE072	2021-08-23	6.0	35000.0
E073	David Brown	1988-10-12	Male	stevenwilliamson@hotmail.com	-5368	2016-05-30	Analyst	Contractor	4	null	DE073	2021-09-02	6.0	32000.0
E074	Angie Davidson	1969-05-12	Female	mary44@hotmail.com	001-830-454-1714x1907	2016-10-15	Analyst	Contractor	5	null	AE074	2023-07-16	6.0	37100.0
E075	Sandra Hernandez	2003-04-06	Female	ryan01@hotmail.com	+1-570-128-4223x027	2018-08-07	Consultant	Contractor	2	null	SE075	2022-06-26	12.0	62400.0
E076	Benjamin Sosa	1982-11-17	Male	williamshepherd@gmail.com	001-651-819-4640	2016-03-31	Manager	Contractor	4	null	BE076	2022-09-03	12.0	72600.0
E077	Ann Gibbs	1981-12-05	Female	xavier01@romero-berry.com	+1-098-169-3121x41164	2023-10-16	Consultant	Contractor	1	Active	AE077	2024-04-09	9.0	43120.0
E079	Thomas Morgan	1968-03-17	Male	ysmith@yahoo.com	725.483.2449x1166	2020-06-21	Analyst	Contractor	1	null	TE079	2023-10-30	12.0	55380.0
E090	Brenda Holmes	1968-07-07	Female	sawyersandra@carpenter.com	-10461	2021-07-12	Consultant	Contractor	4	null	BE090	2021-11-26	3.0	17700.0
E093	Erin Chavez	1971-10-11	Female	qgriffin@yahoo.com	(328)564-4823	2016-05-30	HR Specialist	Contractor	1	null	EE093	2025-07-01	36.0	173900.0
E094	Nancy Lester	1993-04-21	Female	walteramanda@hotmail.com	207-989-0600	2022-03-13	Manager	Contractor	2	null	NE094	2023-07-31	12.0	63250.0
E011	Michelle Mccormick	2001-06-04	Male	qburns@hotmail.com	978-005-6080x417	2017-10-15	Developer	Contractor	3	null	ME011	2024-10-07	36.0	200000.0
